title,requirement
Mature Products and Services – Software Design Engineer,"
Job description
      IntroductionDelivering the technical solutions requires not only the knowledge/experience, but also teamwork, organizational, and communication skills. If you are experienced developer and would like to - Prove you are highly talented and ready to work in a multidisciplinary team. - Enjoy the challenge/problem solving of complex issues in multi-dimensional cause. - Make a difference to efficiency and profitability of ASML by performing the engineering change through the product life cycle. - Make your work to have a global impact. Then, you shall fulfill the position of “MPS D&E Engineer”. This is your chance to work in a multinational environment that also provides you complex technical and challenges. Job Mission- Contribute to the development of the PAS5500 product line by re-designing, creating and testing sub-systems, within the restrictions imposed by system specifications, costs and planning considerations. - Lead the software aspects related to repairs and refurbishment of PAS 5500 systems and trouble shooting, resulting in both quick fixes and structural solutions. - Develop and implement the software aspects of customer specials in close cooperation within the multidisciplinary team. - Support the Manufacturing and Customer Support organization to meet the output and quality requirements and high end trouble shooting. Job Description- Specify, re-design, replace critical software components. - Integrate, qualify and optimize all the software aspects of the equipment modules in order to meet the system performance. - Contribute to the master plan by making a realistic work break down. - Work within a multi-disciplinary team. - Optimizing quality of the software aspects of the modules. - Develop and implement the software project in close cooperation with stakeholders. - Identify and integrate the design/solution and contribute to documentation and knowledge base. EducationBachelor/ Master degree in Computer Science and Information, Mathematics or equivalent. Experience- 5 years of experience with software designs, repairs, refurbishments of multi-disciplinary equipment like measurement tools, positioning systems, handling systems etc. - Embedded software in combination with related hardware - Defining (re-)design requirements, implementation and qualification - VX works, C, Solaris and the relevant configuration tools - Adjustment of code within large existing code archives which are not all perfectly documented - Control of sensors & actuators of measurement systems, motion systems, optical systems, illumination systems and handlers - Good experience in implementing quality and/or efficiency improvement projects - Experience in Quality & Efficiency improvement projects in both the production and development environment are an advantage. Personal skills- Team player able to communicate professionally with colleagues and people with non-SW and/or different cultural backgrounds. - Strong analytical ability with a pragmatic attitude, able to quickly understand existing code. - Self-driven, pro-active, hands-on and get-it-done mentality based on technical arguments. - Exceptional communication and interpersonal skills with the ability to interact with people from all levels in a professional manner. - Analytical, procedural, accurate and independent way of working - Good English and Mandarin language skills. Context of the positionBusiness Line Mature Products and Services is responsible for the entire installed base of PAS5500 steppers and scanners. Within BL MPS, Design & Engineering deliver the structural solution to supports PAS5500 installed base by providing refurbished systems, upgrades, spare-parts and service to our customers.
    "
【2017暑期實習】-Linux Network Application Software Engineer,"
Job description

工作內容
工作說明：
 Port the Azure IoT gateway SDK to the VIA OCF Certified platform Integrate VIA OCF IoT Gateway with Azure cloud.
工作地點：
新北市新店區 中正路533號8樓
工作時間：
日班
工作性質：
全職、企業實習
實習時段：
暑期實習
職務類別：
軟體工程師
工作待遇：
面議
需求人數：
1 人
到職日期：
不限
職缺更新：
2017/4/28
求才條件
身份類別：
日間就學中／夜間就學中
學歷限制：
大學 以上畢業
科系限制：
資訊工程學類 , 電機工程學類 , 電子工程學類
工作經驗：
不拘
電腦專長：
LINUX、C/C++
附加條件：
 Excellent C/C++ programming and software design skills, including debugging, performance analysis, and test design.  Programming experience on Linux platforms.  Programming experience on network application  Azure cloud API developing experience as a plus. 1. 送出1111履歷 2. 填寫職缺意願：https://goo.gl/forms/SH8Qorz843m1XmSm2 3. 備妥履歷、自傳、成績單寄至：rachelyuan@via.com.tw 主旨：【應徵2017威盛暑期實習】+姓名 我們收到後會儘快進行相關的招募事宜，謝謝您。
工作福利
"
(Information Technology) Market Intelligence Software Engineer (新店),"
Job description
Competitive Intelligence Build competitors database (e.g. competitor profiles, strategies, market segmentation, market position and capabilities) to feed into product development, go-to-market campaigns and pricing strategy.Synthesize emerging competitors and threats to inform management recommendations and changes to business strategyMarket Intelligence Inform market strategies in different geographies by measuring market-specific metrics (e.g., market size, market share, market trends, ASP, customer preference, and regulatory issues, etc.) and providing these insights to key stakeholders.Research and synthesize market opportunities, market penetration strategies and new market development opportunities to support business cases for new products and solutionsOwn, manage, and continuously optimize HTC’s market/competitive/customer database.Minimum 6 months of experience in a software design and development occupation; experience in Crawlbot (python, javascript, node.js, jave, java) and bulk processing is highly preferred.Strong critical thinking to identify and synthesize patterns from emerging trends. Good communication skills to develop and communicate insights, results and recommendations across multiple stakeholders in simple, easy-to-understand mediums.Familiar with Office suite (Word, PowerPoint, Excel and Outlook).Demonstrated general business acumen from prior work environmentsDetailed-oriented and have the can-do attitude.Experience with secondary data is a plus.Proficient in English.
"
TR-[桃園]Android BSP Software Engineer(65-85K*14個月),"
Job description

工作內容
工作說明：
上班時間:周一~周五9:00~18:00
工作內容:（Description):
 Android BSP porting Android HAL and framework development. Embedded Linux device driver development (Kernel / Power and battery)
需求條件:
1 years on Qualcomm platform is plus
Willing to take new challenge
C, C++, Java is plus
Android/Linux相關經驗一年以上
英文敢說即可 (主管偶爾會要求英文報告)
#應徵方式：
 直接點選右上角【我要應徵】 寄履歷至【tracy@recruitexpress.com.tw】標題註明應徵職務 撥打(02)8780-6811 找【Tracy周小姐】
工作地點：
桃園市桃園區
工作時間：
日班
休假制度：
週休二日
工作性質：
全職
職務類別：
軟體工程師 、 演算法開發工程師
工作待遇：
面議
需求人數：
1~2人
到職日期：
急徵
職缺更新：
2017/5/2
求才條件
身份類別：
不拘
學歷限制：
大學 以上
科系限制：
不拘
工作經驗：
不拘
工作福利
"
Software Engineer - Back-End,"
Job description
      honestbee is Asia's leading online concierge and delivery service. We want to make life easier by taking care of your time-consuming daily chores. Fast and reliable on-demand services—that's our commitment to you!
Three months at honestbee are like a year at any other company. Things move fast. You learn more, you accomplish more. We're shooting for the stars. We celebrate diversity. Our team is multicultural, motivated, strong-minded, passionate and fun. We take both work and play very seriously.
OUR VISION
The world’s most convenient services marketplace.
OUR MISSION
To provide positive social and financial impact on the lives and business that we touch
We’re looking for engineers who love building practical solutions to address real world problems. It could be building out essential growth features that improve our customer acquisition and retention rates or logistic solutions that help us in optimising our shopping and deliveries.
We will be providing a great working environment with lots of training opportunities, learning from experienced senior engineers who have been involved with the growth of several tech start-ups.
Our server-side is built on Rails.
Job Responsibilities
 Work closely with product and design to build and improve features Write and improve upon existing code with attention paid to performance Plan and document technical specifications for features or system design Contribute towards improving engineering culture and approach 
 What is an ideal candidate for the role?
 You have a portfolio / examples of work to show or have contributed to open source projects Familiarity with TDD and BDD concepts and how to use them to write code that is well tested Have experience working on the web stack and be willing to become an expert in using Rails stack Constantly learning the best practices and improving skill sets You enjoy working in a start-up and open environment You take pride and ownership in your work You are self-motivated and can work well under pressure You have a good sense of humour and like fun 
We strongly believe in giving back to the society. By creating flexible equal employment opportunities, we aim to empower people from all walks of life to upgrade their skills and gain access to training.
Join us if you believe you can help us in creating a great product. We promise, we will help you grow your career like never before.
    "
Software Engineer,"
Job description
      Description
Your Contribution:
In This Role You Will
Be Yourself. Be Open. Stay Hungry and Humble. Collaborate. Challenge. Decide and just Do. These are the behaviors you'll need for success at Logitech.
A Senior Software Engineer is needed for the Consumer Computing Platforms (CCP) business unit of Logitech. As a key member of our Design Center, you will be responsible for the Software development of a portfolio of products for all product groups of Logitech CCP business unit, from the Strategic Front End, through product development, and into successful mass production in the Far East.
Key Qualifications
For consideration, you must bring the following minimum skills and behaviors to our team:
 5+ years in an software engineering role within product development. Familiar with C/C++, OOP, multi-threading programming Experiences in Windows driver development. Experiences in Windows application development. Strong analytical ability and debugging skills Fluent spoken & written English and Chinese
In Addition, Preferable Skills And Behaviors Include
 version control tools: git... VC/MFC WinDBG USB/Bluetooth HID Fast Learner
Logitech is the sweet spot for people who are passionate about products, making a mark, and having fun doing it. As a company, we're small and flexible enough for every person to take initiative and make things happen. But we're big enough in our portfolio, and reach, for those actions to have a global impact. That's a pretty sweet spot to be in and we're always striving to keep it that way.
    "
Sr. Tools Software Engineer,"
Job description
Job Responsibilities
Synaptics is looking to hire a world class Senior Software Engineer to work in a talented and motivated team of great engineers building tools for our custom microcontroller architecture. The successful candidate will share responsibility for development of the compiler, optimizing assembler, simulator, and other development tools. In addition, the candidate will work with the silicon architects to help define future generations of microcontrollers used in our embedded touch solutions.
Required Qualifications
BS in Computer Science or Electrical Engineering (MS preferred). Minimum 5 years of experience and strong background in compilers, assemblers, debuggers, simulators and related tools. Strong C/C++ and assembly programming skills. Familiarity with CISC/RISC CPU architectures Experience with wide variety of aspects of compiler and related tools, including:
Code generation and optimizations GCC, LLVM and CLANG experience will be a big plus Good understanding of programming languages is needed Ability to work in a wide range of environments, including UNIX, Cygwin, and Windows Ability to work with other Engineers working Simulator, debugger and run time libraries Strong experience developing software for an embedded microcontroller
"
Image Processing Software Engineer / 影像處理研發工程師,"
Job description
      熟悉 CMOS Sensor & LENS特性評估 具備Camera 3A Tuning相關經驗、調校Color Performance, Sharpness, noise. Gamma. 接觸新的光學技術如對焦技術PDAF, Laser Focus, Close Loop VCM與EIS/OIS 防手震以及高感光 & 光學Zoom之雙攝了解用於AR SLAM 的3D Camera、Depth Camera、ToF、Structure Light、Fisheye等新架構
    "
Automated Test Software Engineer,"
Job description
      The Work
Description
Lead new product factory test stations development and validationWork with Nest and OEM engineering teams on station bring up, verification, and debugReview station GR&R data, limits review, retest rate debug, and yield attackAssist in test station SW implementation and debug in new product prototype stageWork with hardware team on test coverage review and recommendationsWork with OEM R&D engineers on implementing new test equipment and processContribute to initial station design concept and validation methodology
Required Skills And Experience
BS/MS EE or Computer Science or related field5+ years experience in automated testing or equivalent
Preferred Skills And Experience
5+ years experience in consumer electronics design and manufacturingProven experience with C++ or equivalent object-oriented languageAbility to multi-task, work independently, and hands-on problem solvingProven experience developing automated test solutions for lab or manufacturingExperience working with OEMs in a lab and/or mass production level product testingStrong software debug experienceStrong hardware and/or fixture debug skillsDetailed oriented with documentation and data analysis methodologyDeveloping drivers to interface with production test equipment and fixturesUnderstand statistical process and quality control principles and be capable of applying statistical analysis methods to raw data setsExperience with Objective-C and python is a plusFrequent travel is expected (
    "
(IBM Security) Software Engineer - Big Data,"
Job description
      The volume of security incidents and available threat data far exceed the capacity of even the most skilled security professional. Enter Watson for Cyber Security. It augments a security analyst's ability to identify and understand sophisticated threats, by tapping into unstructured data (ex. blogs, websites, research papers) and correlating it with local security offenses. IBM QRadar Advisor with Watson combines the cognitive capabilities of Watson and the industry leading QRadar Security Analytics Platform to uncover hidden threats and automate insights, revolutionizing the way security analysts work. Refer to details of IBM QRadar Advisor with Watson: https://www.ibm.com/bs-en/marketplace/cognitive-security-analytics
IBM Security Team is seeking software engineers with experience in machine learning, data analysis and preferably Security threat intelligence to work on the IBM QRadar Advisor with Watson project. The candidate will work on a global team to continually improve the quality of information provided to customers using the IBM QRadar Advisor with Watson product.
Positions require a degree in a technical discipline with demonstrated technical background, a demonstrated foundation in software, ability to work with a group of peers, leadership, problem solving, analytical thinking, multi-tasking, demonstrated written and verbal communication skills as well as a focus on customer success. Previous work or co-op experience on software projects is a plus.
Our positions offer an excellent opportunity to develop technical skills with a multidisciplinary team of developers, designers and business professionals focused on the next generation of software. You will gain real-life experience with a corporate position that will not only impact IBM’s bottom line but also influence the future of software. For more information on our business unit and products, please visit our website at http://www-306.ibm.com/software/
Main Role And Responsibility
Work as a member of an Agile Scrum team, participate in ongoing Sprint activity to deliver on assigned Story work.Respond to customer feedback on data quality, investigate and identify issues. Recommend and implement remediation.Research and develop techniques for evaluating, testing and improving outputs from machine learning models.
    "
Software Engineer,"
Job description
      Job Id
Requisition Id:- 3162
Job Description
Responsible for Bluetooth software support , development, and testing of Cypress wilress technologies.
Major Duties
 Work closely with other engineers to develop new Bluetooth features that integrate with the design process
 Manage ongoing project requirements definition and prioritization to keep pace with customer design requirements
 Manage project plans, development milestones, and priorities
 Architect and develop software systems and components to meet customer requirements
Skills
Ideal Qualifications:
 Demonstrated experience with software design, debugging, documentation and testing
 5+ years of experience in software engineering
 Knowledge of high-level software architectural patterns and best-practices
 Distributed system state management, communication, fault tolerance, and logging Multi-threading and multiprocessing
 Skills In The Following Technologies
 C/C++ programming language
 Message queues
 SCM using Git, SVN, or Mercurial
 Familiarity With Bluetooth Or Wireless Concept
 Understand Bluetooth software stack, or Wireless protocol
 Bachelors degree in computer science or related field
 Highly self-motivated with excellent communication and interpersonal skills
 Good organizational skills with the ability to multi-task, prioritize and track project activities
Note
Cypress is an Equal Employment Opportunity/Affirmative Action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, genetic information, national origin, physical or mental disability, or status as a Protected Veteran
    "
SRAM Compiler Software Engineer,"
Job description
      1.Job responsible for SRAM leaf cell integration and design kits generation (Verilog/Perl/Python/Shell/SKILL/C++) . 
2.Familiar with programming skill and unix/linux environment, such as C, Python, Perl, TCL language. 
3.EDA views/tools knowledge.
    "
JO-外商公司徵 Sr. software Engineer,"
Job description
工作內容
工作說明：
Responsibilities
 Create a compelling user experience with the appropriate application of Flex and other web 2.0 technologies (eg, GWT,EXTjs, etc) Implement Linux server side Java classes to support user interfaces. Integrate Java classes with Ruby on Rails services. Work with system engineers to refine rich user interface experience, usability, and implement.
Requirement
 4+ years of experience with writing commercial Java software. 7+ years of experience in creating web applications. Experience in modern MVC web frameworks such as Cairngorm, Mate. Experienced with hand-coding JavaScript. Experience with product development, ie software projects that are sold to be installed by the user on their server. Deep knowledge of Flex user interface design. Experience with GWT, Dojo, Extjs, JQuery, or other feature rich Ajax JavaScript libraries a big plus. Familiar CSS and applying style sheets, skinning to create sophisticated layouts and custom controls. Basic hands on Linux development experience including application development and shell script development.
工作地點：
新北市新店區
工作時間：
日班
工作性質：
全職
職務類別：
軟體工程師
工作待遇：
面議
需求人數：
1人
到職日期：
不限
職缺更新：
2017/4/14
求才條件
身份類別：
不拘
學歷限制：
不拘
科系限制：
不拘
工作經驗：
不拘
工作福利
"
【DD12-02163】Application Software Engineer,"
Job description
      
工作內容
工作說明：
負責IP Camera PC/MAC端應用程式開發與維護
 Network video recorder browser plug-in for IE/Chrome/Firefox/Safari IP Cam manufacturing tool Visual Studio C++ DDK/WDK QT/ffmpeg/DirectDraw/RTSP
工作地點：
新北市中和區 建康路119號10樓
工作時間：
日班 說明：09:00~18:30
休假制度：
週休二日
是否出差：
需出差
工作性質：
全職
職務類別：
軟體工程師 、 韌體工程師 、 軟／韌體測試人員
工作待遇：
面議
需求人數：
1人
到職日期：
不限
職缺更新：
2017/4/28
求才條件
身份類別：
不拘
學歷限制：
大學 以上畢業
科系限制：
電機工程學類 , 電子工程學類 , 通信學類 , 資訊工程學類
工作經驗：
2年以上工作經驗
語言能力：
英文 聽:中等 說:中等 讀:中等 寫:中等
    "
106年研發替代役-Software Engineer,"
Job description

工作內容
工作說明：
Linux Kernel, drivers programming, CPU verification
工作地點：
新竹市東區 力行三路5號 (新竹科學園區)
工作時間：
日班
休假制度：
週休二日
工作性質：
全職 此為研發替代役職務，應徵者須具備研發替代役資格
職務類別：
軟體工程師 、 通訊軟體工程師
工作待遇：
面議
需求人數：
2人
到職日期：
不限
職缺更新：
2017/4/24
求才條件
身份類別：
不拘
學歷限制：
碩士 以上
科系限制：
電機工程學類 , 電子工程學類 , 資訊工程學類
工作經驗：
不拘
附加條件：
對Embedded System, Linux, ARM SOC有興趣並且具有高度學習熱忱, 有相關經驗尤佳 *建議各位熱血夥伴可於人力銀行附件檢附以下資料，能讓主管更認識你喲！ - 大學/研究所成績單 - 擅長之專業領域、論文內容或大綱、指導教授姓名 - 曾參與過之研究專案、設計比賽之作品或獲獎紀錄 - 校內、外專業課程訓練證明 - 個人自傳
工作福利
"
LLVM software engineer,"
Job description
      Software and hardware developments of LLVM and its applications
Requirement
1. Master or above with major in CS or EE related fields
2. Good understanding of compiler technology
3. Familiarity with embedded or Android system
4. Familiarity with VM and JIT theories and applications
5. Knowledge in ARM ISA
6. Experience with Android/LLVM/gcc and open source is a plus
    "
